TAXONOMIC ORDER,COMMON NAME,OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED
8043,Black Swift,25,47.662576,-122.12052,5/21/09,5:30:00
8043,Black Swift,25,47.662576,-122.12052,5/21/09,5:50:00
8043,Black Swift,8,47.662576,-122.12052,5/21/09,4:30:00
8043,Black Swift,6,47.4253,-121.431284,6/11/09,17:20:00
8043,Black Swift,1,47.662576,-122.12052,6/11/09,5:30:00
8043,Black Swift,3,47.662576,-122.12052,7/9/09,5:30:00
8043,Black Swift,3,47.662576,-122.12052,7/9/09,4:30:00
8043,Black Swift,12,47.6121811,-121.986866,7/7/09,7:05:00
8043,Black Swift,1,47.1411904,-121.460638,7/17/09,8:00:00
8043,Black Swift,12,47.6121811,-121.986866,7/7/09,7:05:00
8043,Black Swift,6,47.7319345,-121.1297607,8/21/09,8:00:00
8043,Black Swift,1,47.7272726,-121.145618,8/16/09,9:30:00
8043,Black Swift,1,47.7272726,-121.145618,8/16/09,9:30:00
8043,Black Swift,1,47.3908071,-121.5261045,8/8/09,
8043,Black Swift,8,47.65424,-122.29137,5/29/10,16:00:00
8043,Black Swift,20,47.662576,-122.12052,5/27/10,6:15:00
8043,Black Swift,14,47.662576,-122.12052,5/28/10,14:50:00
8043,Black Swift,14,47.662576,-122.12052,5/27/10,5:30:00
8043,Black Swift,1,47.65424,-122.29137,5/21/10,13:00:00
8043,Black Swift,25,47.662576,-122.12052,5/27/10,5:30:00
8043,Black Swift,16,47.662576,-122.12052,5/20/10,5:00:00
8043,Black Swift,16,47.662576,-122.12052,5/20/10,4:30:00
8043,Black Swift,12,47.662576,-122.12052,5/20/10,5:30:00
8043,Black Swift,7,47.662576,-122.12052,6/3/10,4:00:00
8043,Black Swift,1,47.658543,-122.1317053,6/19/10,9:30:00
8043,Black Swift,2,47.663868,-122.4215317,6/3/10,12:15:00
8043,Black Swift,3,47.662576,-122.12052,6/3/10,5:30:00
8043,Black Swift,20,47.662576,-122.12052,6/10/10,6:00:00
8043,Black Swift,35,47.662576,-122.12052,6/3/10,5:30:00
8043,Black Swift,X,47.662576,-122.12052,6/20/10,
8043,Black Swift,25,47.662576,-122.12052,6/17/10,5:00:00
8043,Black Swift,15,47.662576,-122.12052,6/10/10,5:00:00
8043,Black Swift,2,47.65424,-122.29137,6/10/10,8:50:00
8043,Black Swift,12,47.662576,-122.12052,6/10/10,5:30:00
8043,Black Swift,20,47.662576,-122.12052,6/17/10,7:30:00
8043,Black Swift,2,47.65424,-122.29137,6/19/10,7:45:00
8043,Black Swift,5,47.42175,-122.25821,6/16/10,16:00:00
8043,Black Swift,8,47.662576,-122.12052,6/17/10,5:30:00
8043,Black Swift,X,47.6545148,-122.1077304,6/17/10,5:30:00
8043,Black Swift,10,47.5597558,-122.0549817,6/16/10,8:00:00
8043,Black Swift,10,47.5597558,-122.0549817,6/16/10,8:00:00
8043,Black Swift,10,47.5597558,-122.0549817,6/16/10,8:00:00
8043,Black Swift,2,47.3284365,-122.2431564,6/22/10,8:45:00
8043,Black Swift,1,47.662576,-122.12052,6/20/10,8:20:00
8043,Black Swift,X,47.66258,-122.12052,6/20/10,6:30:00
8043,Black Swift,1,47.599951,-122.134904,6/27/10,
8043,Black Swift,25,47.599951,-122.134904,6/17/10,
8043,Black Swift,3,47.599951,-122.134904,6/8/10,
8043,Black Swift,1,47.5089687,-121.8415546,7/18/10,7:00:00
8043,Black Swift,X,47.72803,-121.3379002,8/7/10,
8043,Black Swift,1,47.662576,-122.12052,8/12/10,5:30:00
8043,Black Swift,6,47.65424,-122.29137,9/12/10,8:30:00
8043,Black Swift,1,47.662576,-122.12052,9/30/10,6:20:00
8043,Black Swift,2,47.6815336,-122.2505453,5/31/11,7:45:00
8043,Black Swift,25,47.662576,-122.12052,6/16/11,5:30:00
8043,Black Swift,3,47.662576,-122.12052,6/16/11,5:35:00
8043,Black Swift,12,47.662576,-122.12052,6/23/11,4:30:00
8043,Black Swift,2,47.662576,-122.12052,6/9/11,4:30:00
8043,Black Swift,1,47.658543,-122.1317053,6/22/11,9:25:00
8043,Black Swift,8,47.662576,-122.12052,6/23/11,5:30:00
8043,Black Swift,1,47.6815336,-122.2505453,6/21/11,8:10:00
8043,Black Swift,X,47.65424,-122.29137,6/19/11,9:00:00
8043,Black Swift,X,47.662576,-122.12052,6/23/11,5:30:00
8043,Black Swift,2,47.185046,-121.9770813,6/23/11,13:00:00
8043,Black Swift,6,47.5597558,-122.0549817,6/11/11,9:05:00
8043,Black Swift,5,47.5416862,-121.8378156,6/26/11,18:00:00
8043,Black Swift,2,47.6713697,-122.1259546,6/16/11,8:45:00
8043,Black Swift,12,47.3202069,-122.3327637,6/1/11,19:00:00
8043,Black Swift,2,47.662576,-122.12052,6/9/11,6:30:00
8043,Black Swift,25,47.662576,-122.12052,6/16/11,4:30:00
8043,Black Swift,2,47.662576,-122.12052,6/2/11,4:30:00
8043,Black Swift,3,47.662576,-122.12052,6/9/11,6:30:00
8043,Black Swift,2,47.662576,-122.12052,6/2/11,4:30:00
8043,Black Swift,5,47.5416862,-121.8378156,6/26/11,18:00:00
8043,Black Swift,4,47.5597558,-122.0549817,7/22/11,8:00:00
8043,Black Swift,1,47.6423765,-122.310791,7/14/11,7:00:00
8043,Black Swift,3,47.662576,-122.12052,7/21/11,5:00:00
8043,Black Swift,5,47.662576,-122.12052,7/14/11,5:30:00
8043,Black Swift,2,47.662576,-122.12052,7/14/11,5:40:00
8043,Black Swift,7,47.662576,-122.12052,7/14/11,5:30:00
8043,Black Swift,3,47.6731902,-122.3076153,7/10/11,19:00:00
8043,Black Swift,8,47.662576,-122.12052,7/14/11,4:15:00
8043,Black Swift,6,47.662576,-122.12052,7/14/11,4:45:00
8043,Black Swift,4,47.5597558,-122.0549817,7/22/11,8:00:00
8043,Black Swift,6,47.662576,-122.12052,7/21/11,5:30:00
8043,Black Swift,2,47.6772249,-122.2559077,8/13/11,15:30:00
8043,Black Swift,1,47.3202069,-122.3327637,8/27/11,12:30:00
8043,Black Swift,4,47.651685,-122.3151811,5/22/12,16:55:00
8043,Black Swift,4,47.651685,-122.3151811,5/22/12,16:55:00
8043,Black Swift,1,47.662576,-122.12052,5/31/12,5:20:00
8043,Black Swift,15,47.662576,-122.12052,5/24/12,4:30:00
8043,Black Swift,4,47.651685,-122.3151811,5/22/12,16:55:00
8043,Black Swift,4,47.651685,-122.3151811,5/22/12,
8043,Black Swift,9,47.662576,-122.12052,5/24/12,7:15:00
8043,Black Swift,1,47.6096364,-122.3431339,5/28/12,13:00:00
8043,Black Swift,2,47.662576,-122.12052,5/31/12,5:25:00
8043,Black Swift,5,47.6583063,-122.1143456,6/9/12,9:00:00
8043,Black Swift,5,47.662576,-122.12052,6/14/12,5:00:00
8043,Black Swift,1,47.662576,-122.12052,6/28/12,4:10:00
8043,Black Swift,3,47.4190282,-122.2763085,6/9/12,
8043,Black Swift,1,47.65424,-122.29137,6/19/12,
8043,Black Swift,1,47.6635376,-122.2805786,6/10/12,7:00:00
8043,Black Swift,X,47.65424,-122.29137,6/10/12,7:00:00
8043,Black Swift,2,47.45372,-122.32224,6/9/12,8:00:00
8043,Black Swift,15,47.662576,-122.12052,6/7/12,5:30:00
8043,Black Swift,3,47.3142829,-122.1746412,6/4/12,
8043,Black Swift,5,47.662576,-122.12052,6/14/12,8:45:00
8043,Black Swift,3,47.42088,-122.1232,6/9/12,11:00:00
8043,Black Swift,2,47.662576,-122.12052,6/14/12,5:30:00
8043,Black Swift,3,47.662576,-122.12052,6/14/12,5:30:00
