TAXONOMIC ORDER,COMMON NAME,OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED
526,Harlequin Duck,4,47.5669131,-122.4108696,1/17/09,13:30:00
526,Harlequin Duck,2,47.5746294,-122.4185836,1/19/09,
526,Harlequin Duck,4,47.40234,-122.33128,1/19/09,10:15:00
526,Harlequin Duck,5,47.5758309,-122.3921585,1/31/09,8:30:00
526,Harlequin Duck,1,47.5726544,-122.4140185,1/25/09,12:30:00
526,Harlequin Duck,X,47.5952692,-122.3865366,1/19/09,
526,Harlequin Duck,1,47.5892626,-122.3811722,1/31/09,8:00:00
526,Harlequin Duck,1,47.5721322,-122.4139863,2/1/09,12:00:00
526,Harlequin Duck,5,47.5841938,-122.4005256,2/17/09,8:20:00
526,Harlequin Duck,4,47.5626274,-122.4058914,3/14/09,14:00:00
526,Harlequin Duck,2,47.5626274,-122.4058914,4/11/09,9:30:00
526,Harlequin Duck,5,47.5302762,-122.3955921,4/19/09,
526,Harlequin Duck,2,47.327654,-122.376709,5/2/09,14:00:00
526,Harlequin Duck,X,47.5402193,-122.3970294,5/8/09,7:50:00
526,Harlequin Duck,X,47.5726317,-122.4141097,5/8/09,7:15:00
526,Harlequin Duck,3,47.5302762,-122.3955921,9/29/09,
526,Harlequin Duck,3,47.777653,-122.3932448,10/18/09,7:20:00
526,Harlequin Duck,X,47.663868,-122.4215317,10/10/09,12:15:00
526,Harlequin Duck,X,47.57092,-122.38624,10/10/09,
526,Harlequin Duck,3,47.777653,-122.3932448,11/14/09,12:30:00
526,Harlequin Duck,5,47.777653,-122.3932448,11/17/09,12:00:00
526,Harlequin Duck,2,47.7739592,-122.3925439,11/8/09,
526,Harlequin Duck,7,47.5841938,-122.4005256,12/22/09,10:00:00
526,Harlequin Duck,X,47.5841938,-122.4005256,12/12/09,16:00:00
526,Harlequin Duck,2,47.3833333,-122.4666667,12/27/09,9:15:00
526,Harlequin Duck,2,47.6727857,-122.4041748,12/26/09,8:00:00
526,Harlequin Duck,16,47.5841938,-122.4005256,12/1/09,11:55:00
526,Harlequin Duck,2,47.6928546,-122.4054806,12/26/09,8:00:00
526,Harlequin Duck,3,47.5721322,-122.4139863,12/27/09,14:00:00
526,Harlequin Duck,9,47.450728,-122.3791122,12/27/09,8:25:00
526,Harlequin Duck,2,47.40234,-122.33128,12/5/09,12:00:00
526,Harlequin Duck,3,47.5841938,-122.4005256,12/12/09,15:30:00
526,Harlequin Duck,3,47.5841938,-122.4005256,12/12/09,15:30:00
526,Harlequin Duck,9,47.5841938,-122.4005256,12/11/09,10:00:00
526,Harlequin Duck,8,47.5841938,-122.4005256,1/31/10,14:00:00
526,Harlequin Duck,2,47.5841938,-122.4005256,1/23/10,13:00:00
526,Harlequin Duck,8,47.5669131,-122.4108696,1/3/10,14:45:00
526,Harlequin Duck,8,47.5841938,-122.4005256,1/3/10,8:30:00
526,Harlequin Duck,6,47.5669131,-122.4108696,1/8/10,13:00:00
526,Harlequin Duck,3,47.5790733,-122.4120712,1/10/10,8:30:00
